Far field
"Theta"[deg]	"FarField1 []"	
-1.80000000E+02	2.90300870E-01	
-1.75000000E+02	2.79330097E-01	
-1.70000000E+02	2.49294853E-01	
-1.65000000E+02	2.05593900E-01	
-1.60000000E+02	1.55461690E-01	
-1.55000000E+02	1.06445691E-01	
-1.50000000E+02	6.49251426E-02	
-1.45000000E+02	3.47373263E-02	
-1.40000000E+02	1.65218730E-02	
-1.35000000E+02	8.29594015E-03	
-1.30000000E+02	6.89420233E-03	
-1.25000000E+02	9.35005595E-03	
-1.20000000E+02	1.36045760E-02	
-1.15000000E+02	1.85644899E-02	
-1.10000000E+02	2.38548933E-02	
-1.05000000E+02	2.95603156E-02	
-1.00000000E+02	3.60761312E-02	
-9.50000000E+01	4.40810713E-02	
-9.00000000E+01	5.46102376E-02	
-8.50000000E+01	6.92157101E-02	
-8.00000000E+01	9.02194815E-02	
-7.50000000E+01	1.21081524E-01	
-7.00000000E+01	1.66923252E-01	
-6.50000000E+01	2.35274078E-01	
-6.00000000E+01	3.37204803E-01	
-5.50000000E+01	4.89354961E-01	
-5.00000000E+01	7.18249454E-01	
-4.50000000E+01	1.06969315E+00	
-4.00000000E+01	1.62621872E+00	
-3.50000000E+01	2.52984621E+00	
-3.00000000E+01	3.99089540E+00	
-2.50000000E+01	6.24241215E+00	
-2.00000000E+01	9.40285635E+00	
-1.50000000E+01	1.32729537E+01	
-1.00000000E+01	1.72005102E+01	
-5.00000000E+00	2.01920974E+01	
0.00000000E+00	2.13173016E+01	
5.00000000E+00	2.01931024E+01	
1.00000000E+01	1.72023530E+01	
1.50000000E+01	1.32752598E+01	
2.00000000E+01	9.40507251E+00	
2.50000000E+01	6.24397230E+00	
3.00000000E+01	3.99144827E+00	
3.50000000E+01	2.52938717E+00	
4.00000000E+01	1.62504076E+00	
4.50000000E+01	1.06821127E+00	
5.00000000E+01	7.16823221E-01	
5.50000000E+01	4.88196959E-01	
6.00000000E+01	3.36382366E-01	
6.50000000E+01	2.34760796E-01	
7.00000000E+01	1.66654321E-01	
7.50000000E+01	1.20989914E-01	
8.00000000E+01	9.02512450E-02	
8.50000000E+01	6.93320949E-02	
9.00000000E+01	5.47842367E-02	
9.50000000E+01	4.42927930E-02	
1.00000000E+02	3.63086505E-02	
1.05000000E+02	2.97964327E-02	
1.10000000E+02	2.40750664E-02	
1.15000000E+02	1.87466068E-02	
1.20000000E+02	1.37268338E-02	
1.25000000E+02	9.39851330E-03	
1.30000000E+02	6.87561544E-03	
1.35000000E+02	8.25334618E-03	
1.40000000E+02	1.65452728E-02	
1.45000000E+02	3.49573636E-02	
1.50000000E+02	6.54786994E-02	
1.55000000E+02	1.07413359E-01	
1.60000000E+02	1.56797606E-01	
1.65000000E+02	2.07087938E-01	
1.70000000E+02	2.50606604E-01	
1.75000000E+02	2.80101204E-01	
1.80000000E+02	2.90300870E-01	
